taxon,grouped,plankton,precision-native_rf,recall-native_rf,f1-native_rf,n-native_rf,precision-mobilenet_pca50_rf,recall-mobilenet_pca50_rf,f1-mobilenet_pca50_rf,n-mobilenet_pca50_rf,precision-mobilenet600,recall-mobilenet600,f1-mobilenet600,n-mobilenet600,precision-effnetv2s,recall-effnetv2s,f1-effnetv2s,n-effnetv2s
fuzzy,Acantharia,True,0.8888888888888888,0.2857142857142857,0.43243243243243246,28.0,0.96,0.8571428571428571,0.9056603773584906,28.0,0.9583333333333334,0.8214285714285714,0.8846153846153846,28.0,0.7142857142857143,0.8928571428571429,0.7936507936507936,28.0
spiky<Acantharia,Acantharia,True,0.5,0.03225806451612903,0.06060606060606061,31.0,0.875,0.9032258064516129,0.8888888888888888,31.0,0.9117647058823529,1.0,0.9538461538461539,31.0,0.5471698113207547,0.9354838709677419,0.6904761904761905,31.0
star<Acantharia,Acantharia,True,0.6938775510204082,0.5483870967741935,0.6126126126126126,62.0,0.9838709677419355,0.9838709677419355,0.9838709677419355,62.0,0.9841269841269841,1.0,0.992,62.0,0.9253731343283582,1.0,0.9612403100775194,62.0
Actinopterygii,Actinopterygii,True,0.5833333333333334,0.4117647058823529,0.4827586206896552,17.0,0.42857142857142855,0.5294117647058824,0.47368421052631576,17.0,0.4166666666666667,0.5882352941176471,0.4878048780487805,17.0,0.44,0.6470588235294118,0.5238095238095238,17.0
Amphipoda,Amphipoda,True,0.3125,0.17857142857142858,0.22727272727272727,28.0,0.6666666666666666,0.35714285714285715,0.46511627906976744,28.0,0.6,0.5357142857142857,0.5660377358490566,28.0,0.5,0.6428571428571429,0.5625,28.0
Hyperiidea,Amphipoda,True,0.0,0.0,0.0,14.0,0.6666666666666666,0.2857142857142857,0.4,14.0,0.35294117647058826,0.42857142857142855,0.3870967741935484,14.0,0.22857142857142856,0.5714285714285714,0.32653061224489793,14.0
Annelida,Annelida,True,0.5,0.07894736842105263,0.13636363636363635,38.0,0.42105263157894735,0.21052631578947367,0.2807017543859649,38.0,0.2978723404255319,0.3684210526315789,0.32941176470588235,38.0,0.42857142857142855,0.3157894736842105,0.36363636363636365,38.0
Phyllodocida,Annelida,True,0.7,0.35,0.4666666666666667,20.0,0.8333333333333334,0.75,0.7894736842105263,20.0,0.475,0.95,0.6333333333333333,20.0,0.5,1.0,0.6666666666666666,20.0
Swima,Annelida,True,0.5714285714285714,0.1111111111111111,0.18604651162790697,36.0,0.8214285714285714,0.6388888888888888,0.71875,36.0,0.7209302325581395,0.8611111111111112,0.7848101265822784,36.0,0.5517241379310345,0.8888888888888888,0.6808510638297872,36.0
Appendicularia,Appendicularia,True,0.7647058823529411,0.5909090909090909,0.6666666666666666,22.0,0.9,0.8181818181818182,0.8571428571428571,22.0,0.75,0.8181818181818182,0.782608695652174,22.0,0.6333333333333333,0.8636363636363636,0.7307692307692307,22.0
dead<house,Appendicularia,True,0.45217391304347826,0.3795620437956204,0.4126984126984127,137.0,0.7258064516129032,0.656934306569343,0.6896551724137931,137.0,0.4723404255319149,0.8102189781021898,0.5967741935483871,137.0,0.37987012987012986,0.8540145985401459,0.5258426966292135,137.0
Aulacanthidae,Aulacanthidae,True,0.9090909090909091,0.4444444444444444,0.5970149253731343,45.0,0.8085106382978723,0.8444444444444444,0.8260869565217391,45.0,0.7068965517241379,0.9111111111111111,0.7961165048543689,45.0,0.6774193548387096,0.9333333333333333,0.7850467289719626,45.0
Aulatractus,Aulosphaeridae,True,1.0,0.058823529411764705,0.1111111111111111,17.0,0.8,0.7058823529411765,0.75,17.0,0.4666666666666667,0.8235294117647058,0.5957446808510638,17.0,0.7777777777777778,0.8235294117647058,0.8,17.0
Aulosphaeridae,Aulosphaeridae,True,0.7058823529411765,0.21818181818181817,0.3333333333333333,55.0,0.9019607843137255,0.8363636363636363,0.8679245283018868,55.0,0.8,0.8727272727272727,0.8347826086956521,55.0,0.6265060240963856,0.9454545454545454,0.7536231884057971,55.0
Chaetognatha,Chaetognatha,True,0.6142857142857143,0.5,0.5512820512820513,86.0,0.6914893617021277,0.7558139534883721,0.7222222222222222,86.0,0.5241379310344828,0.8837209302325582,0.658008658008658,86.0,0.5079365079365079,0.7441860465116279,0.6037735849056604,86.0
other<Cnidaria,Cnidaria,True,0.6666666666666666,0.06451612903225806,0.11764705882352941,62.0,0.5263157894736842,0.3225806451612903,0.4,62.0,0.4189189189189189,0.5,0.45588235294117646,62.0,0.4067796610169492,0.3870967741935484,0.39669421487603307,62.0
small<Cnidaria,Cnidaria,True,0.7721518987341772,0.4357142857142857,0.5570776255707762,140.0,0.859504132231405,0.7428571428571429,0.7969348659003831,140.0,0.6785714285714286,0.8142857142857143,0.7402597402597403,140.0,0.72,0.7714285714285715,0.7448275862068966,140.0
Coelodendridae,Coelodendridae,True,1.0,0.15625,0.2702702702702703,32.0,0.8148148148148148,0.6875,0.7457627118644068,32.0,0.6578947368421053,0.78125,0.7142857142857143,32.0,0.6944444444444444,0.78125,0.7352941176470589,32.0
spiky<Coelodendridae,Coelodendridae,True,1.0,0.29411764705882354,0.45454545454545453,17.0,0.9285714285714286,0.7647058823529411,0.8387096774193549,17.0,0.875,0.8235294117647058,0.8484848484848485,17.0,0.6842105263157895,0.7647058823529411,0.7222222222222222,17.0
cloud,Collodaria,True,1.0,0.05405405405405406,0.10256410256410256,37.0,0.8333333333333334,0.8108108108108109,0.821917808219178,37.0,0.5818181818181818,0.8648648648648649,0.6956521739130435,37.0,0.5396825396825397,0.918918918918919,0.68,37.0
Collodaria,Collodaria,True,0.8717948717948718,0.3434343434343434,0.4927536231884058,99.0,0.8490566037735849,0.9090909090909091,0.8780487804878049,99.0,0.6940298507462687,0.9393939393939394,0.7982832618025751,99.0,0.6308724832214765,0.9494949494949495,0.7580645161290323,99.0
solitaryblack,Collodaria,True,0.2857142857142857,0.08695652173913043,0.13333333333333333,23.0,0.5555555555555556,0.43478260869565216,0.4878048780487805,23.0,0.37209302325581395,0.6956521739130435,0.48484848484848486,23.0,0.32075471698113206,0.7391304347826086,0.4473684210526316,23.0
solitaryglobule,Collodaria,True,0.8378378378378378,0.8157894736842105,0.8266666666666667,38.0,0.9230769230769231,0.9473684210526315,0.935064935064935,38.0,0.8809523809523809,0.9736842105263158,0.925,38.0,0.8636363636363636,1.0,0.926829268292683,38.0
Calanidae,Copepoda,True,0.5240963855421686,0.6590909090909091,0.5838926174496645,132.0,0.8125,0.7878787878787878,0.8,132.0,0.71875,0.8712121212121212,0.7876712328767124,132.0,0.7819548872180451,0.7878787878787878,0.7849056603773585,132.0
